0 info it worked if it ends with ok
1 verbose cli [ 'node', '/usr/local/bin/npm', 'update', '-g', 'yeoman' ]
2 info using npm@1.1.33
3 info using node@v0.8.1
4 verbose config file /Users/david/.npmrc
5 verbose config file /usr/local/etc/npmrc
6 verbose config file /usr/local/lib/node_modules/npm/npmrc
7 verbose read json /usr/local/lib/package.json
8 verbose read json /usr/local/lib/node_modules/grunt/package.json
9 verbose read json /usr/local/lib/node_modules/jison/package.json
10 verbose read json /usr/local/lib/node_modules/npm/package.json
11 verbose read json /usr/local/lib/node_modules/yeoman/package.json
12 verbose from cache /usr/local/lib/node_modules/grunt/package.json
13 verbose cache add [ 'yeoman', '*' ]
14 silly cache add name="yeoman" spec="*" args=["yeoman","*"]
15 verbose parsed url { pathname: '*', path: '*', href: '*' }
16 verbose addNamed [ 'yeoman', '*' ]
17 verbose addNamed [ null, '' ]
18 verbose from cache /usr/local/lib/node_modules/jison/package.json
19 verbose from cache /usr/local/lib/node_modules/npm/package.json
20 verbose read json /usr/local/lib/node_modules/grunt/node_modules/.bin/package.json
21 verbose read json /usr/local/lib/node_modules/grunt/node_modules/async/package.json
22 verbose read json /usr/local/lib/node_modules/grunt/node_modules/colors/package.json
23 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/package.json
24 verbose read json /usr/local/lib/node_modules/grunt/node_modules/dateformat/package.json
25 verbose read json /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/package.json
26 verbose read json /usr/local/lib/node_modules/grunt/node_modules/gzip-js/package.json
27 verbose read json /usr/local/lib/node_modules/grunt/node_modules/hooker/package.json
28 verbose read json /usr/local/lib/node_modules/grunt/node_modules/jshint/package.json
29 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/package.json
30 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nopt/package.json
31 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/package.json
32 verbose read json /usr/local/lib/node_modules/grunt/node_modules/semver/package.json
33 verbose read json /usr/local/lib/node_modules/grunt/node_modules/temporary/package.json
34 verbose read json /usr/local/lib/node_modules/grunt/node_modules/uglify-js/package.json
